user_id,booking_id,created_at,status,checkin_status,booking_start_time,booking_end_time,is_demo
146,1,2022-10-19 05:39:41.448694+00:00,completed,checkedIn,2022-11-01 05:00:00+00:00,2022-11-01 17:30:00+00:00,FALSE
146,2,2022-10-26 10:00:43.220322+00:00,completed,checkedIn,2022-11-02 05:00:00+00:00,2022-11-02 17:30:00+00:00,FALSE
66,3,2022-11-07 06:11:54.407982+00:00,completed,checkedIn,2022-11-07 06:30:00+00:00,2022-11-07 17:30:00+00:00,FALSE
286,4,2022-11-08 10:40:59.593669+00:00,editedByUser,checkInNotAvailable,2022-11-09 08:30:00+00:00,2022-11-09 17:00:00+00:00,FALSE
153,5,2022-11-14 10:52:21.897090+00:00,cancelled,notCheckedIn,2022-11-14 05:00:00+00:00,2022-11-14 17:30:00+00:00,FALSE
100,6,2022-11-14 20:38:58.525081+00:00,completed,checkInNotAvailable,2022-11-15 06:00:00+00:00,2022-11-15 17:00:00+00:00,FALSE
273,7,2022-11-20 13:40:51.470033+00:00,completed,checkInNotAvailable,2022-11-21 08:00:00+00:00,2022-11-21 16:30:00+00:00,FALSE
313,8,2022-11-21 09:58:49.539743+00:00,completed,notCheckedIn,2022-11-21 10:00:00+00:00,2022-11-21 17:30:00+00:00,FALSE
296,9,2022-11-22 07:07:28.290028+00:00,completed,checkInNotAvailable,2022-11-22 06:45:00+00:00,2022-11-22 15:00:00+00:00,FALSE
207,10,2022-11-23 08:05:05.682331+00:00,completed,checkedIn,2022-11-23 08:30:00+00:00,2022-11-23 17:30:00+00:00,FALSE
132,11,2022-11-24 08:45:54.957171+00:00,completed,checkedIn,2022-11-24 09:00:00+00:00,2022-11-24 18:00:00+00:00,FALSE
185,12,2022-11-29 08:43:21.656303+00:00,completed,checkedIn,2022-12-06 05:00:00+00:00,2022-12-06 17:30:00+00:00,FALSE
173,13,2022-12-01 17:27:15.090310+00:00,completed,notCheckedIn,2022-12-01 17:30:00+00:00,2022-12-01 18:00:00+00:00,FALSE
74,14,2022-12-07 08:00:35.510613+00:00,cancelled,notCheckedIn,2022-12-07 09:00:00+00:00,2022-12-07 18:00:00+00:00,FALSE
46,15,2022-12-08 07:39:44.539664+00:00,completed,checkedIn,2022-12-08 08:00:00+00:00,2022-12-08 17:30:00+00:00,FALSE
28,16,2022-12-10 17:35:01.191450+00:00,editedByUser,checkInNotAvailable,2022-12-21 08:00:00+00:00,2022-12-21 13:00:00+00:00,FALSE
31,17,2022-12-14 12:15:18.629507+00:00,completed,checkedIn,2022-12-16 07:45:00+00:00,2022-12-16 17:30:00+00:00,FALSE
284,18,2023-01-02 21:18:02.790708+00:00,completed,checkedIn,2023-01-03 05:00:00+00:00,2023-01-03 17:30:00+00:00,FALSE
67,19,2023-01-04 09:19:40.158957+00:00,completed,checkedIn,2023-01-06 05:00:00+00:00,2023-01-06 17:30:00+00:00,FALSE
146,20,2023-01-04 17:53:03.383477+00:00,completed,checkedIn,2023-01-12 05:00:00+00:00,2023-01-12 17:30:00+00:00,FALSE
207,21,2023-01-13 07:09:16.047678+00:00,completed,checkedIn,2023-01-13 05:00:00+00:00,2023-01-13 15:57:45.676000+00:00,FALSE
13,22,2023-01-17 06:51:42.885273+00:00,completed,checkInNotAvailable,2023-01-17 07:00:00+00:00,2023-01-17 17:00:00+00:00,FALSE
51,23,2023-01-18 06:27:20.658262+00:00,completed,checkInNotAvailable,2023-01-18 06:00:00+00:00,2023-01-18 17:00:00+00:00,FALSE
200,24,2023-01-24 14:29:11.424720+00:00,cancelled,notCheckedIn,2023-02-03 07:30:00+00:00,2023-02-03 17:30:00+00:00,FALSE
14,25,2023-02-01 09:03:36.800571+00:00,completed,checkInNotAvailable,2023-02-01 09:15:00+00:00,2023-02-01 17:00:00+00:00,FALSE
100,26,2023-02-01 16:00:59.335316+00:00,completed,checkInNotAvailable,2023-02-03 06:00:00+00:00,2023-02-03 17:00:00+00:00,FALSE
28,27,2023-02-01 21:34:06.939085+00:00,completed,checkedIn,2023-02-06 05:00:00+00:00,2023-02-06 17:30:00+00:00,FALSE
243,28,2023-02-03 21:38:53.648035+00:00,completed,checkedIn,2023-02-08 05:00:00+00:00,2023-02-08 17:30:00+00:00,FALSE
90,29,2023-02-07 13:59:53.223331+00:00,completed,checkInNotAvailable,2023-02-08 06:00:00+00:00,2023-02-08 17:00:00+00:00,FALSE
185,30,2023-02-08 13:06:29.035369+00:00,completed,checkedIn,2023-02-14 05:00:00+00:00,2023-02-14 17:30:00+00:00,FALSE
9,31,2023-02-09 07:16:55.990072+00:00,completed,checkInNotAvailable,2023-02-09 07:30:00+00:00,2023-02-09 17:00:00+00:00,FALSE
74,32,2023-02-12 19:42:11.732893+00:00,completed,checkedIn,2023-02-13 07:00:00+00:00,2023-02-13 18:00:00+00:00,FALSE
236,33,2023-02-13 07:44:51.388827+00:00,completed,checkInNotAvailable,2023-02-14 06:00:00+00:00,2023-02-14 17:00:00+00:00,FALSE
294,34,2023-02-14 06:25:01.462938+00:00,completed,checkInNotAvailable,2023-02-14 06:30:00+00:00,2023-02-14 18:00:00+00:00,FALSE
824,35,2023-02-15 10:58:49.257987+00:00,cancelled,notCheckedIn,2023-02-15 08:30:00+00:00,2023-02-15 18:00:00+00:00,FALSE
192,36,2023-02-19 19:36:04.829986+00:00,cancelled,notCheckedIn,2023-02-20 06:00:00+00:00,2023-02-20 17:00:00+00:00,FALSE
257,37,2023-02-21 13:43:25.113075+00:00,cancelled,notCheckedIn,2023-02-21 09:30:00+00:00,2023-02-21 18:00:00+00:00,FALSE
257,38,2023-02-21 14:05:56.217237+00:00,completed,checkedIn,2023-02-22 07:00:00+00:00,2023-02-22 18:00:00+00:00,FALSE
183,39,2023-02-27 07:35:07.440246+00:00,completed,checkedIn,2023-02-27 07:45:00+00:00,2023-02-27 17:30:00+00:00,FALSE
837,40,2023-03-07 09:06:42.754398+00:00,completed,checkedIn,2023-03-07 08:45:00+00:00,2023-03-07 18:00:00+00:00,FALSE
20,41,2023-03-09 08:04:36.641355+00:00,completed,checkedIn,2023-03-09 08:15:00+00:00,2023-03-09 17:30:00+00:00,FALSE
65,42,2023-03-14 07:21:19.482495+00:00,completed,checkedIn,2023-03-14 05:00:00+00:00,2023-03-14 17:30:00+00:00,FALSE
857,43,2023-03-15 12:14:13.560196+00:00,editedByUser,readyForCheckIn,2023-03-15 12:00:00+00:00,2023-03-15 18:00:00+00:00,FALSE
246,44,2023-03-16 09:52:33.396161+00:00,editedByUser,checkInNotAvailable,2023-03-20 11:00:00+00:00,2023-03-20 18:00:00+00:00,FALSE
52,45,2023-03-21 06:29:18.633546+00:00,completed,checkInNotAvailable,2023-03-21 06:30:00+00:00,2023-03-21 17:00:00+00:00,FALSE
74,46,2023-03-29 08:01:00.086344+00:00,completed,checkedIn,2023-03-29 08:15:00+00:00,2023-03-29 17:00:00+00:00,FALSE
864,47,2023-03-30 08:30:15.043301+00:00,cancelled,notCheckedIn,2023-03-30 10:00:00+00:00,2023-03-30 17:00:00+00:00,FALSE
869,48,2023-04-01 16:18:28.609535+00:00,completed,checkInNotAvailable,2023-04-25 06:00:00+00:00,2023-04-25 18:00:00+00:00,FALSE
174,49,2023-04-03 09:39:17.286199+00:00,completed,checkedIn,2023-04-03 09:45:00+00:00,2023-04-03 17:00:00+00:00,FALSE
175,50,2023-04-03 11:49:23.564169+00:00,editedByUser,readyForNonQRCheckIn,2023-04-06 08:00:00+00:00,2023-04-06 17:00:00+00:00,FALSE
200,51,2023-04-17 16:48:03.552064+00:00,completed,checkedIn,2023-04-18 04:00:00+00:00,2023-04-18 16:30:00+00:00,FALSE
107,52,2023-04-27 06:55:22.598783+00:00,completed,checkedIn,2023-04-27 11:00:00+00:00,2023-04-27 16:30:00+00:00,FALSE
6,53,2023-04-27 08:05:58.970712+00:00,cancelled,notCheckedIn,2023-05-04 05:00:00+00:00,2023-05-04 16:00:00+00:00,FALSE
73,54,2023-04-27 08:27:26.284248+00:00,cancelled,notCheckedIn,2023-04-27 10:30:00+00:00,2023-04-27 17:00:00+00:00,FALSE
206,55,2023-05-02 15:09:39.429130+00:00,cancelled,notCheckedIn,2023-05-04 04:00:00+00:00,2023-05-04 16:30:00+00:00,FALSE
207,56,2023-05-04 08:26:35.703942+00:00,accepted,readyForCheckIn,2023-05-15 04:00:00+00:00,2023-05-15 16:30:00+00:00,FALSE
207,57,2023-05-08 07:07:50.139845+00:00,completed,checkedIn,2023-05-08 07:15:00+00:00,2023-05-08 16:30:00+00:00,FALSE
320,58,2023-05-09 07:56:49.595751+00:00,running,checkInNotAvailable,2023-05-09 08:00:00+00:00,2023-05-09 17:00:00+00:00,FALSE
296,59,2022-11-01 14:26:51.580997+00:00,completed,checkInNotAvailable,2022-11-08 06:00:00+00:00,2022-11-08 18:00:00+00:00,FALSE
188,60,2022-11-01 15:00:51.469567+00:00,completed,checkInNotAvailable,2022-11-02 06:00:00+00:00,2022-11-02 17:00:00+00:00,FALSE
255,61,2022-11-07 05:04:44.619251+00:00,completed,checkInNotAvailable,2022-11-07 06:00:00+00:00,2022-11-07 17:00:00+00:00,FALSE
25,62,2022-11-10 08:52:36.581639+00:00,completed,checkedIn,2022-11-10 09:00:00+00:00,2022-11-10 15:00:00+00:00,FALSE
96,63,2022-11-23 06:25:43.607585+00:00,completed,checkInNotAvailable,2022-11-25 06:00:00+00:00,2022-11-25 17:00:00+00:00,FALSE
65,64,2022-11-29 07:24:01.811875+00:00,completed,checkedIn,2022-11-29 07:30:00+00:00,2022-11-29 17:30:00+00:00,FALSE
257,65,2022-11-29 12:50:47.691404+00:00,completed,checkedIn,2022-12-07 07:00:00+00:00,2022-12-07 18:00:00+00:00,FALSE
28,66,2022-12-01 07:53:01.709674+00:00,completed,checkedIn,2022-12-02 05:00:00+00:00,2022-12-02 17:30:00+00:00,FALSE
329,67,2022-12-07 15:13:29.035493+00:00,completed,checkInNotAvailable,2022-12-09 06:00:00+00:00,2022-12-09 18:00:00+00:00,FALSE
181,68,2022-12-13 09:52:47.012865+00:00,completed,notCheckedIn,2022-12-19 05:00:00+00:00,2022-12-19 17:30:00+00:00,FALSE
208,69,2022-12-13 13:14:44.214519+00:00,completed,checkedIn,2022-12-14 05:00:00+00:00,2022-12-14 17:30:00+00:00,FALSE
43,70,2022-12-15 09:16:11.887732+00:00,completed,notCheckedIn,2022-12-19 05:00:00+00:00,2022-12-19 17:30:00+00:00,FALSE
183,71,2023-01-10 07:16:53.609027+00:00,completed,checkedIn,2023-01-10 07:30:00+00:00,2023-01-10 17:30:00+00:00,FALSE
132,72,2023-01-10 17:48:44.751632+00:00,completed,checkedIn,2023-01-11 07:00:00+00:00,2023-01-11 18:00:00+00:00,FALSE
322,73,2023-01-10 22:19:21.070290+00:00,completed,checkInNotAvailable,2023-01-18 07:00:00+00:00,2023-01-18 17:00:00+00:00,FALSE
100,74,2023-01-11 12:53:59.765927+00:00,completed,checkInNotAvailable,2023-01-17 06:00:00+00:00,2023-01-17 17:00:00+00:00,FALSE
302,75,2023-01-16 08:14:38.683998+00:00,cancelled,notCheckedIn,2023-01-16 07:00:00+00:00,2023-01-16 18:00:00+00:00,FALSE
257,76,2023-01-31 14:02:19.207302+00:00,completed,notCheckedIn,2023-02-01 07:00:00+00:00,2023-02-01 18:00:00+00:00,FALSE
